Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"EST"	R38444	14	A	29	P	10	A	45	P	4	A	8	A	10	A	5	A	10	A	-2	A	5	A	5	A	7	A	22	P	20	P	16	P	23	P
"IMMEDIATE-EARLY RESPONSE PROTEIN NOT"	R38476	19	P	14	A	16	P	12	A	3	A	1	A	4	A	1	A	4	A	8	A	9	A	7	A	3	A	18	P	10	A	7	A	13	A
"FGFR2 Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"	R38513_f	1	A	-5	A	-5	A	4	A	5	A	7	A	-1	A	0	A	7	A	7	A	5	A	7	A	-4	A	-13	A	5	A	1	A	-2	A
"FGFR2 Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"	R38513_i	90	P	148	P	86	P	78	P	23	P	38	P	33	P	29	M	45	P	49	A	24	A	73	P	29	A	56	A	30	P	27	P	37	P
"FGFR2 Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"	R38513_r_i	72	P	163	P	59	A	120	P	22	M	43	P	29	M	30	P	54	P	48	A	75	P	37	M	32	A	42	A	28	M	30	P	39	P
"GABRG2 Gamma-aminobutyric acid (GABA) A receptor, gamma 2"	R38576	9	A	-4	A	-6	A	2	A	3	A	-1	A	5	A	0	A	6	A	2	A	1	A	0	A	1	A	-6	A	6	A	-2	A	5	A
"No cluster in current Unigene and no Genbank entry for R38604 (qualifier R38604)"	R38604	12	A	-2	A	-11	A	-13	A	4	A	-5	A	-5	A	3	A	-5	A	-6	A	1	A	-7	A	-5	A	1	A	-4	A	12	A	1	A
"PLAUR Plasminogen activator, urokinase receptor"	R38636	76	P	94	P	501	P	535	P	36	P	554	P	64	P	454	P	24	P	9	A	33	P	55	P	111	P	36	M	32	P	38	P	59	P
"KDR Kinase insert domain receptor (a type III receptor tyrosine kinase)"	R38646	4	A	5	A	1	A	3	A	-5	A	-3	A	2	A	-2	A	2	A	0	A	1	A	1	A	4	A	0	A	-2	A	4	A	-6	A
"ESTs, Moderately  similar to ZINC FINGER PROTEIN 91 [Homo sapiens]"	R38658	9	A	1	A	2	A	-4	A	-1	A	4	A	-1	A	3	A	-1	A	6	A	8	A	-2	A	3	A	1	A	6	A	9	P	0	A
"ESTs"	R38700	5	A	2	A	-2	A	-2	A	-1	A	3	A	3	A	2	A	-4	A	0	A	0	A	8	A	5	A	1	A	2	A	6	A	3	A
"ESTs"	R38704	1	A	-7	A	-1	A	-3	A	6	A	-1	A	0	A	-5	A	5	A	11	A	2	A	0	A	1	A	2	A	4	A	1	A	1	A
"ESTs, Highly  similar to PROTEIN TRANSPORT PROTEIN SEC13 [Saccharomyces cerevisiae]"	R38736	233	P	378	P	383	P	219	P	183	P	252	P	293	P	128	P	68	P	81	P	59	P	66	P	79	P	246	P	287	P	311	P	327	P
"ESTs"	R38755	7	A	26	A	9	A	17	A	7	A	3	A	9	A	8	A	10	A	12	P	-2	A	18	A	27	P	1	A	2	A	-1	A	5	A
"ESTs, Highly  similar to SYNAPTIC VESICLE PROTEIN 2 [Rattus norvegicus]"	R38758	10	A	39	P	24	A	9	A	4	A	7	A	1	A	8	A	11	A	12	A	22	A	8	A	18	A	9	A	4	A	5	A	13	A
"No cluster in current Unigene and no Genbank entry for R39004 (qualifier R39004)"	R39004	-11	A	19	A	-1	A	-12	A	-6	A	-7	A	4	A	0	A	-7	A	-2	A	7	A	7	A	-7	A	1	A	-4	A	-1	A	-7	A
"ESTs"	R39006	0	A	2	A	2	A	5	A	1	A	3	A	3	A	-1	A	2	A	1	A	-2	A	-4	A	0	A	0	A	1	A	2	A	0	A
"No cluster in current Unigene and no Genbank entry for R39010 (qualifier R39010)"	R39010	-10	A	16	A	-14	A	6	A	-6	A	-15	A	4	A	9	A	10	A	-6	M	27	A	-4	A	-36	A	23	M	-11	A	-29	A	-12	A
"ESTs"	R39044	3	A	-1	A	22	A	6	A	7	A	2	A	4	A	6	A	1	A	4	A	6	A	3	A	1	A	2	A	8	A	2	A	-2	A
"No cluster in current Unigene and no Genbank entry for R39052 (qualifier R39052)"	R39052	12	A	15	A	-10	A	11	A	0	A	10	A	1	A	8	A	0	A	1	A	6	A	-2	A	6	A	10	A	4	A	4	A	-2	A
"FRAP FK506 binding protein 12-rapamycin associated protein"	R39104	13	P	9	A	5	A	3	A	10	A	14	P	17	P	6	A	7	A	21	P	18	M	12	A	18	M	18	P	11	P	16	P	15	P
"ESTs"	R39111_f	12	A	18	P	76	P	51	P	-1	A	2	A	4	A	7	A	7	A	2	A	13	P	17	P	44	P	13	A	30	P	18	P	4	A
"VSNL1 Visinin-like 1"	R39112	0	A	0	A	5	A	12	A	8	A	5	A	226	M	4	A	2	A	2	A	2	A	1	A	-1	A	7	A	0	A	-2	A	-2	A
"ESTs, Highly  similar to DNA-BINDING PROTEIN SATB1 [Homo sapiens]"	R39128	5	A	-11	A	19	A	8	A	5	A	9	A	10	A	7	A	11	P	3	A	10	A	14	A	12	A	-3	A	12	A	2	A	8	A
"ORF mRNA"	R39130	248	P	375	P	410	P	501	P	73	P	114	P	215	P	89	P	94	P	81	P	46	P	64	P	86	P	323	P	271	P	256	P	271	P
"PEPD Peptidase D"	R39141	35	P	35	P	31	P	8	P	18	A	19	P	17	A	27	P	11	P	18	P	5	A	1	A	12	A	44	P	55	P	45	P	34	P
"HEAT SHOCK FACTOR PROTEIN 2"	R39144_f	78	P	84	P	87	P	40	P	8	P	24	P	8	A	8	A	40	P	32	P	25	P	21	A	29	P	59	P	69	P	60	P	56	P
"CREM CAMP responsive element modulator"	R39184	4	A	-4	A	-5	A	-3	A	-1	A	4	A	6	A	11	P	2	A	5	A	8	A	5	A	1	A	-2	A	9	A	13	A	17	P
"IMMUNODEFICIENCY VIRUS TYPE I ENHANCER-BINDING PROTEIN 2"	R39209_f	6	A	6	A	12	A	28	P	2	A	1	A	-12	A	15	P	2	A	7	A	13	P	8	A	19	P	18	P	14	A	33	P	19	P
"IMMUNODEFICIENCY VIRUS TYPE I ENHANCER-BINDING PROTEIN 2"	R39209_i	13	A	20	A	14	A	42	P	16	P	15	P	22	P	47	P	1	A	-7	A	41	P	21	P	24	P	63	P	41	P	55	P	56	P
"IMMUNODEFICIENCY VIRUS TYPE I ENHANCER-BINDING PROTEIN 2"	R39209_r_i	6	A	15	A	3	A	26	P	3	A	2	A	6	P	12	M	4	A	1	A	15	P	8	A	9	A	13	A	8	A	20	P	21	P
"ESTs"	R39221	-7	A	-4	A	1	A	-8	A	2	A	0	A	2	A	4	A	7	A	-1	A	4	A	5	A	6	A	-5	A	4	A	-1	A	-6	A
"AF-4 mRNA"	R39315_i	8	A	2	A	6	A	-10	A	2	A	-4	A	-2	A	0	A	6	A	8	A	4	A	8	A	-3	A	0	A	1	A	0	A	3	A
"AF-4 mRNA"	R39315_r	1	A	-2	A	0	A	5	A	-4	A	5	A	0	A	2	A	4	A	2	A	4	A	2	A	6	A	0	A	1	A	3	A	3	A
"ESTs, Highly  similar to TYROSINE-PROTEIN KINASE RECEPTOR EPH-3 PRECURSOR [Homo sapiens]"	R39317	4	A	-8	A	1	A	-5	A	0	A	-1	A	-1	A	-1	A	-6	A	-1	A	-1	A	3	A	5	A	-3	A	0	A	0	A	-3	A
"TP53 Tumor protein p53 (Li-Fraumeni syndrome)"	R39356_f	7	A	-1	A	6	A	-6	A	4	A	2	A	4	A	-2	A	202	P	184	P	183	P	214	P	144	P	19	A	20	P	17	P	20	P
"TP53 Tumor protein p53 (Li-Fraumeni syndrome)"	R39356_i	4	A	-20	A	0	A	-5	A	1	A	7	A	5	A	-7	A	119	P	139	P	140	P	143	P	133	P	-5	A	6	A	2	A	11	A
"No cluster in current Unigene and no Genbank entry for R39465 (qualifier R39465_f)"	R39465_f	967	P	2486	P	1608	P	2204	P	666	P	1024	P	985	P	906	P	1369	P	1305	P	998	P	1583	P	1420	P	1381	P	935	P	802	P	803	P
"No cluster in current Unigene and no Genbank entry for R39465 (qualifier R39465_i)"	R39465_i	1813	P	3994	P	2804	P	4182	P	933	P	1992	P	1619	P	1479	P	2272	P	1892	P	1675	P	2616	P	2418	P	2194	P	1335	P	1178	P	1237	P
"No cluster in current Unigene and no Genbank entry for R39483 (qualifier R39483)"	R39483	11	A	26	A	30	A	18	A	4	A	3	A	2	A	1	A	6	A	17	A	-1	A	10	A	6	A	5	A	27	A	10	A	16	A
"Thyroid receptor interactor (TRIP1) mRNA"	R39531	367	P	281	P	414	P	194	P	117	P	225	P	282	P	106	P	123	P	178	P	145	P	121	P	131	P	193	P	252	P	245	P	244	P
"ESTs"	R39540	-3	A	11	A	7	A	3	A	-3	A	-5	A	8	A	5	A	9	A	-1	A	2	A	4	A	3	A	9	A	4	A	0	A	6	A
"INTERLEUKIN-1 RECEPTOR, TYPE II PRECURSOR"	R39575	-4	A	-22	A	-1	A	-5	A	3	A	1	A	1	A	3	A	-1	A	17	A	0	A	-1	A	3	A	5	A	-5	A	2	A	-5	A
"ESTs"	R39599	-6	A	-134	A	16	A	-11	A	3	A	2	A	-1	A	0	A	-9	A	-16	A	-16	A	-1	A	4	A	-10	A	6	A	-2	A	0	A
"EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma"	R39681_i	82	M	175	P	86	A	72	P	33	M	70	P	45	P	36	P	33	A	64	P	84	P	85	M	53	P	53	M	27	M	36	A	49	P
"EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma"	R39681_r	75	A	151	P	62	A	55	A	16	A	52	A	33	A	19	A	22	A	51	P	72	P	84	P	33	A	77	P	39	P	43	A	48	A
"ESTs, Highly  similar to ELONGATION FACTOR G [Micrococcus luteus]"	R39835	8	A	1	A	4	A	2	A	-4	A	-2	A	0	A	-2	A	1	A	6	A	0	A	-3	A	1	A	0	A	4	A	4	A	3	A
"Serine/threonine protein kinase EMK"	R39857	32	P	28	A	10	A	37	M	1	A	2	A	-3	A	3	A	26	P	44	P	20	A	34	P	71	P	23	P	19	A	12	A	31	P
"KIAA0221 gene"	R39904	19	P	12	A	31	P	30	P	5	A	25	P	26	P	11	A	11	P	8	A	9	A	10	A	5	A	32	P	19	P	13	P	5	A
"ESTs"	R39931	8	A	-3	A	1	A	15	P	-1	A	1	A	1	A	8	A	11	M	9	A	11	A	17	P	30	P	10	A	2	A	16	A	5	A
"(clone S194) mRNA, 3' end of cds"	R39932	-6	A	-23	A	-13	A	-8	A	-7	A	-2	A	4	A	2	A	-11	A	-3	A	4	A	-22	A	2	A	1	A	-6	A	-1	A	-9	A
"ADORA1 Adenosine receptor A1"	R40017	-41	A	-35	A	-64	A	-36	A	-8	A	-7	A	-8	A	-10	A	-18	A	-11	A	-21	A	-10	A	-33	A	-29	A	-34	A	-22	A	-15	A
"No cluster in current Unigene and no Genbank entry for R40081 (qualifier R40081)"	R40081	-5	A	-59	A	-10	A	-6	A	3	A	0	A	0	A	1	A	-6	A	20	A	4	A	-4	A	11	A	0	A	-8	A	-11	A	-1	A
"ESTs"	R40184_i	881	P	577	P	727	P	151	P	18	M	46	P	37	P	29	P	266	P	387	P	199	P	142	P	90	P	69	P	74	P	89	P	95	P
"ESTs"	R40184_r	1119	P	1214	P	736	P	453	P	46	P	55	P	53	P	104	P	369	P	564	P	333	P	361	P	262	P	218	P	270	P	193	P	251	P
"ESTs"	R40244	-3	A	-19	A	-2	A	-12	A	-1	A	0	A	-1	A	-6	A	-1	A	-7	A	-3	A	-4	A	-3	A	-1	A	-2	A	-1	A	-2	A
"Phosphoenolpyruvate carboxykinase"	R40253	61	P	90	P	134	P	21	P	56	P	48	P	56	P	48	P	16	A	13	P	16	P	16	P	11	P	60	P	44	P	40	P	58	P
"Transcriptional activator hSNF2a"	R40263	12	A	0	A	19	A	15	A	2	A	2	A	4	A	-1	A	12	A	7	A	26	A	8	A	14	P	8	A	16	M	10	P	-3	A
"CLN3 Ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-vogt disease) "	R40387	7	A	45	P	2	A	69	P	28	P	21	A	14	A	71	P	15	A	25	P	27	P	36	P	50	P	54	P	60	P	53	P	63	P
"ESTs, Highly  similar to FK506-BINDING PROTEIN PRECURSOR [Mus musculus]"	R40403	-6	A	-4	A	-5	A	-3	A	-12	A	-2	A	-13	A	-14	A	-1	A	-6	A	-4	A	-1	A	1	A	-7	A	-8	A	-1	A	-7	A
"AXONIN-1 PRECURSOR"	R40446	78	P	71	P	31	A	57	M	12	P	13	A	5	A	10	A	31	A	30	A	56	A	29	M	-67	A	112	P	202	P	148	P	275	P
"AUTOANTIGEN PM-SCL"	R40490	58	P	51	P	48	P	53	P	36	P	76	P	69	P	34	P	20	P	10	A	21	P	14	P	13	P	60	P	66	P	57	P	57	P
"No cluster in current Unigene and no Genbank entry for R40550 (qualifier R40550)"	R40550	29	P	22	P	38	P	9	A	7	A	21	P	6	A	11	A	6	A	8	A	11	A	7	A	8	A	51	P	47	P	60	P	27	P
"No cluster in current Unigene and no Genbank entry for R40578 (qualifier R40578_f)"	R40578_f	1	A	2	A	12	P	18	P	1	A	0	A	0	A	0	A	-1	A	5	A	9	A	5	A	5	A	13	A	2	A	10	A	11	A
"ESTs"	R40615	5	A	-1	A	7	A	19	P	0	A	3	A	2	A	3	A	8	A	1	A	3	A	4	A	1	A	2	A	9	A	-1	A	7	A
"Mitogen-activated kinase kinase kinase 5 (MAPKKK5) mRNA"	R40676	10	P	16	P	18	P	15	M	2	A	5	A	6	A	11	A	12	P	22	P	22	P	28	P	40	P	8	A	5	A	-5	A	6	A
"EST"	R40717_f	219	P	125	P	316	P	200	P	15	P	18	P	23	P	17	P	65	P	68	P	36	P	39	P	33	P	202	P	136	P	219	P	157	P
"EST"	R40717_i	615	P	447	P	362	P	619	P	21	P	38	P	38	P	33	P	113	P	89	P	113	P	65	P	65	P	273	P	201	P	385	P	277	P
"Clathrin-like protein"	R40767	-27	A	-36	A	24	A	15	P	-2	A	-3	A	-6	A	-2	A	10	P	-13	A	-3	A	12	A	-1	A	16	A	-1	A	14	A	-9	A
"Gem GTPase (gem) mRNA"	R40776_f	4	A	-3	A	0	A	57	P	-1	A	-1	A	1	A	-1	A	-2	A	0	A	-1	A	1	A	3	A	-1	A	4	A	7	A	9	A
"No cluster in current Unigene and no Genbank entry for R40795 (qualifier R40795)"	R40795	2	A	-8	A	-4	A	3	A	1	A	0	A	0	A	1	A	-3	A	-12	A	1	A	2	A	-14	A	5	A	-4	A	3	A	-2	A
"ESTs, Highly  similar to APOLIPOPROTEIN AI REGULATORY PROTEIN-1 [Homo sapiens]"	R40817	-1	A	-8	A	-15	A	-6	A	-2	A	-4	A	-5	A	-4	A	5	A	-5	A	-1	A	-2	A	-2	A	3	A	-4	A	-2	A	6	A
"EST"	R40899	-12	A	-101	A	-39	A	10	A	-6	A	-14	A	-6	A	-1	A	-3	A	-29	A	35	A	-21	A	-8	A	-2	A	9	A	-14	A	3	A
"ESTs"	R40932	25	A	4	A	2	A	7	A	-8	A	4	A	-16	A	-13	A	6	A	7	A	17	A	19	A	-1	A	17	A	11	A	19	A	11	A
"No cluster in current Unigene and no Genbank entry for R41324 (qualifier R41324)"	R41324	43	P	71	P	89	P	59	P	10	A	32	P	17	A	10	A	26	P	42	P	43	P	23	P	28	P	74	P	75	P	70	P	78	P
"No cluster in current Unigene and no Genbank entry for R41325 (qualifier R41325_f)"	R41325_f	64	M	33	A	48	A	51	M	13	A	5	A	5	A	4	A	24	P	37	M	7	P	8	A	2	A	41	P	23	A	24	A	27	A
"No cluster in current Unigene and no Genbank entry for R41325 (qualifier R41325_i)"	R41325_i	72	P	61	M	57	P	63	A	6	A	5	A	4	A	-2	A	17	A	59	P	48	P	118	P	123	P	20	A	30	P	23	A	11	A
"9G8 splicing factor mRNA"	R41349	168	P	82	P	106	P	52	P	176	P	194	P	157	P	101	P	24	P	79	P	182	P	84	P	91	P	177	P	331	P	313	P	145	P
"GTP-binding protein"	R41366_f	-46	A	-3	A	-42	A	-39	A	0	A	-2	A	-1	A	1	A	1	A	-4	A	-11	A	-6	A	-31	A	43	P	13	A	21	A	34	A
"TTK TTK protein kinase"	R41558	64	P	82	P	50	P	22	P	12	A	8	A	19	A	-4	A	26	P	61	P	26	P	39	P	41	P	102	P	48	P	67	P	32	P
"ESTs"	R41561	-1	A	-11	A	-5	A	14	A	17	A	-15	A	3	A	46	M	8	A	22	M	10	A	8	A	17	A	5	A	28	A	9	A	-6	A
"Bleomycin hydrolase"	R41562	117	P	142	P	175	P	67	P	-1	A	4	A	1	A	0	A	170	P	144	P	114	P	83	P	95	P	112	P	124	P	103	P	103	P
"ESTs"	R41592	40	P	21	A	42	P	13	A	2	A	7	A	3	A	3	A	13	A	15	A	22	A	10	A	7	A	7	A	10	A	5	A	12	P
"ESTs, Highly  similar to PRE-MRNA SPLICING FACTOR RNA HELICASE PRP22 [Saccharomyces cerevisiae]"	R41628	68	P	54	P	64	P	48	P	10	A	47	P	29	P	24	A	52	P	67	P	46	P	80	P	62	P	76	P	51	P	42	P	50	P
"EST"	R41673	54	P	102	P	93	P	54	P	12	A	12	P	16	P	16	P	42	P	71	P	55	P	70	P	72	P	86	P	50	P	62	P	65	P
"No cluster in current Unigene and no Genbank entry for R41705 (qualifier R41705_f)"	R41705_f	0	A	5	A	0	A	-1	A	-4	A	-1	A	1	A	3	A	-1	A	6	A	2	A	1	A	7	A	4	A	-1	A	2	A	5	A
"No cluster in current Unigene and no Genbank entry for R41705 (qualifier R41705_i)"	R41705_i	-3	A	0	A	0	A	4	A	2	A	3	A	1	A	5	A	0	A	10	A	2	A	2	A	1	A	-9	A	3	A	-4	A	4	A
"ESTs, Highly  similar to APICAL PROTEIN [Xenopus laevis]"	R41715	5	A	18	A	3	A	-2	A	-5	A	4	A	0	A	-1	A	-3	A	0	A	6	A	-8	A	0	A	2	A	1	A	4	A	6	A
"ESTs, Highly  similar to NADH-CYTOCHROME B5 REDUCTASE [Bos taurus]"	R41759	-15	A	-36	A	14	A	-12	A	-7	A	1	A	-1	A	-2	A	9	A	4	A	-1	A	13	A	18	M	24	A	12	A	-1	A	6	A
"FAN protein"	R41765	131	P	127	P	190	P	171	P	34	P	69	P	37	P	39	P	41	P	59	P	34	P	45	P	63	P	116	P	60	P	56	P	87	P
"ESTs"	R41791_f	21	P	33	P	26	P	116	P	6	A	24	P	9	A	30	P	21	P	82	P	53	P	46	P	54	P	25	P	29	P	36	P	22	P
"ESTs, Highly  similar to SIGNAL RECOGNITION PARTICLE 72 KD PROTEIN [Canis familiaris]"	R41827	614	P	485	P	704	P	347	P	70	P	110	P	142	P	61	P	277	P	267	P	202	P	163	P	199	P	404	P	335	P	389	P	359	P
"ESTs, Highly  similar to CELL SURFACE GLYCOPROTEIN A15 [Homo sapiens]"	R41866_f	5	A	7	A	2	A	4	A	0	A	-1	A	-2	A	0	A	7	A	2	A	6	A	2	A	3	A	2	A	4	A	5	A	1	A
"ESTs, Highly  similar to CELL SURFACE GLYCOPROTEIN A15 [Homo sapiens]"	R41866_i	144	P	232	P	121	P	134	P	28	P	42	P	77	P	39	P	38	P	211	P	365	P	59	P	109	P	78	P	75	P	52	P	59	P
"ESTs, Highly  similar to CELL SURFACE GLYCOPROTEIN A15 [Homo sapiens]"	R41866_r_i	133	P	284	P	105	P	148	P	16	P	45	P	59	P	27	P	44	P	132	P	171	P	57	P	80	P	61	P	61	P	57	P	65	P
"E2F-related transcription factor (DP-1) mRNA"	R41873	762	P	756	P	775	P	106	P	86	P	94	P	154	P	26	P	415	P	404	P	280	P	285	P	254	P	502	P	358	P	368	P	243	P
"No cluster in current Unigene and no Genbank entry for R41878 (qualifier R41878)"	R41878	8	A	3	A	0	A	-2	A	11	A	4	A	15	A	-5	A	7	A	11	A	-2	A	0	A	7	A	8	A	23	A	12	A	1	A
"ARAF1 V-raf murine sarcoma 3611 viral oncogene homolog 1"	R41881	13	P	47	P	16	A	9	A	2	A	6	A	4	A	2	A	1	A	9	A	22	A	17	P	19	P	17	M	12	A	12	A	10	A
"MLH1 DNA mismatch repair protein MLH1"	R41937	28	P	50	P	50	P	51	P	96	P	131	P	129	P	44	P	42	P	50	P	65	P	36	P	48	P	168	P	122	P	140	P	139	P
"PTPN9 Protein tyrosine phosphatase, non-receptor type 9"	R41941_f	4	A	1	A	2	A	-1	A	-1	A	3	A	2	A	16	P	0	A	4	A	12	A	16	P	25	P	11	A	10	A	16	P	13	P
"PTPN9 Protein tyrosine phosphatase, non-receptor type 9"	R41941_i	-40	A	-122	A	-33	A	-44	A	-5	A	-27	A	-51	A	3	A	-22	A	-12	A	-9	A	0	A	-13	A	-14	A	-24	A	-6	A	-13	A
"PTPN9 Protein tyrosine phosphatase, non-receptor type 9"	R41941_r_i	20	A	88	A	49	A	76	A	58	A	38	A	55	A	113	M	47	A	31	A	32	A	63	A	55	A	106	A	81	A	75	M	100	A
"ESTs"	R41967	-26	A	-67	A	-15	A	-12	A	-2	A	1	A	-3	A	-3	A	4	A	9	A	-18	A	7	A	-15	A	3	A	9	A	8	A	-14	A
"ESTs"	R41973	-14	A	-32	A	-6	A	-27	A	1	A	0	A	2	A	-6	A	5	A	-11	A	6	A	3	A	1	A	2	A	-1	A	-9	A	-10	A
"ESTs, Weakly similar to coded for by C. elegans cDNA yk28h2.5 [C.elegans]"	R41997	-5	A	-4	A	-5	A	0	A	-1	A	2	A	-2	A	5	A	-6	A	3	A	9	A	21	P	13	A	5	A	3	A	1	A	1	A
"ESTs, Highly similar to DIHYDROPRYRIDINE-SENSITIVE L-TYPE, CALCIUM CHANNEL BETA-3 SUBUNIT [H.sapiens]"	R42029	8	A	14	A	16	A	46	P	20	P	16	P	11	P	18	P	8	A	4	A	6	A	10	A	8	A	60	P	49	P	50	P	60	P
"ESTs, Weakly similar to PROTO-ONCOGENE DBL PRECURSOR [Homo sapiens]"	R42043	-1	A	-10	A	-6	A	5	A	1	A	-3	A	-2	A	3	A	8	A	0	A	-2	A	-11	A	-8	A	-9	A	-13	A	1	A	-12	A
"ESTs"	R42070	134	P	145	P	94	P	114	P	29	P	30	P	47	P	32	A	40	P	66	P	59	A	76	P	175	P	84	P	90	P	60	P	99	P
"ESTs"	R42095	63	P	-33	M	37	P	32	A	9	A	13	A	23	P	16	P	29	P	23	A	3	A	40	P	50	P	41	P	20	P	13	P	34	P
"ESTs, Highly  similar to UBIQUITIN CARBOXYL-TERMINAL HYDROLASE ISOZYME L3 [Homo sapiens]"	R42127	167	P	101	P	132	P	32	P	91	P	85	P	100	P	48	P	73	P	122	P	163	P	92	P	117	P	166	P	188	P	185	P	125	P
"ESTs, Moderately  similar to GTP-BINDING PROTEIN YPTV4 [Volvox carteri]"	R42152	20	A	56	P	7	A	51	P	6	A	6	A	7	A	1	A	27	P	24	P	24	A	19	P	29	A	34	P	25	A	23	A	43	P
"MYO-INOSITOL-1(OR 4)-MONOPHOSPHATASE"	R42187	-2	A	-2	A	1	A	-14	A	1	A	1	A	0	A	5	A	1	A	0	A	-10	A	-6	A	-1	A	6	A	-2	A	5	P	3	A
"No cluster in current Unigene and no Genbank entry for R42235 (qualifier R42235)"	R42235	13	P	15	A	7	M	10	A	3	A	0	A	1	A	11	A	11	P	31	P	23	P	49	P	76	P	11	A	6	A	11	A	6	A
"TAP1 Transporter 1, ABC (ATP binding cassette)"	R42244	21	A	5	A	39	P	51	P	16	P	25	P	13	A	21	P	40	P	39	P	50	P	160	P	292	P	29	P	34	P	27	P	14	A
"PSAP Sulfated glycoprotein 1"	R42265	83	M	110	A	105	M	401	P	70	P	79	P	147	P	223	P	57	A	22	A	38	P	105	P	160	P	158	P	124	P	115	P	121	P
"No cluster in current Unigene and no Genbank entry for R42275 (qualifier R42275)"	R42275	28	A	12	A	-7	A	32	M	-5	A	0	A	0	A	-6	A	1	A	-13	A	-10	A	-2	A	-16	A	-8	A	2	A	15	P	7	A
"DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2"	R42291	389	P	305	P	358	P	470	P	57	P	134	P	156	P	117	P	125	P	127	P	111	P	127	P	171	P	294	P	348	P	281	P	214	P
"ARL1 ADP-ribosylation factor like 1"	R42309	15	A	6	A	15	A	12	A	9	A	19	P	17	P	20	P	-3	A	4	A	11	A	10	A	12	A	34	P	28	P	26	P	22	P
"GP36b glycoprotein mRNA"	R42374	101	P	82	P	137	P	142	P	103	P	110	P	136	P	70	P	45	P	37	P	55	P	58	P	52	P	192	P	150	P	150	P	154	P
"Protein tyrosine phosphatase"	R42433	-9	A	-9	A	-16	A	-15	A	0	A	-1	A	0	A	-1	A	-3	A	-11	A	-3	A	0	A	-10	A	-6	A	-5	A	-11	A	-11	A
"ESTs"	R42496	10	A	13	P	8	A	1	A	5	A	2	A	-1	A	-2	A	1	A	9	A	8	A	8	A	0	A	9	P	11	P	3	A	9	A
"IMPDH2 IMP (inosine monophosphate) dehydrogenase 2"	R42501	492	P	515	P	496	P	180	P	245	P	247	P	375	P	10	P	122	P	93	P	71	P	44	P	37	P	517	P	411	P	412	P	285	P
"No cluster in current Unigene and no Genbank entry for R42507 (qualifier R42507_f)"	R42507_f	-3	A	-6	A	5	A	-4	A	-3	A	1	A	-1	A	2	A	4	A	-1	A	4	A	1	A	0	A	2	A	-9	A	1	A	-4	A
"ESTs"	R42560	56	P	77	P	35	P	94	P	5	A	6	A	6	A	7	A	21	P	8	A	11	A	5	A	4	A	10	A	6	A	6	A	11	P
"Transducin-like protein mRNA"	R42570	448	P	1311	A	342	P	327	P	41	M	36	P	58	P	66	P	302	P	136	P	245	P	163	P	217	P	92	P	84	P	115	P	144	P
"ESTs"	R42625	36	P	80	A	52	P	48	A	7	A	7	A	0	A	5	A	26	P	19	A	13	A	21	A	24	P	18	P	1	A	4	A	-3	A
"Trio mRNA"	R42761	-1	A	-33	A	7	A	-20	A	-5	A	-5	A	-4	A	-4	A	-12	A	3	A	-29	A	-19	A	-16	A	-11	A	2	A	-12	A	-21	A
"ESTs"	R42762	7	A	-3	A	5	A	6	A	2	A	1	A	2	A	3	A	2	A	5	A	-1	A	0	A	8	A	1	A	3	A	5	A	5	A
"Src-like adapter protein mRNA"	R42765	19	P	16	A	16	P	4	A	34	P	86	P	42	P	91	P	36	P	87	P	350	P	391	P	542	P	281	P	209	P	70	P	148	P
"ESTs, Weakly similar to GPI-anchored protein p137 [H.sapiens]"	R42797	20	P	25	A	34	P	290	P	10	A	13	A	6	A	5	A	5	A	19	A	13	A	16	A	4	A	19	M	16	A	18	P	14	P
"Protein phosphatase 2A 74 kDa regulatory subunit (delta or B" subunit)"	R42798	143	P	198	P	152	P	122	P	166	P	187	P	198	P	132	P	62	P	92	P	80	P	68	P	69	P	289	P	278	P	262	P	329	P
"ESTs"	R42810	78	P	81	P	54	P	59	P	76	P	64	P	102	P	66	P	27	P	32	P	41	P	30	P	35	P	128	P	141	P	100	P	140	P
